generation,Ne
0,793.463505026304
9.42226309,1076.58696351075
24.1712687,1320.49803181413
47.258415,1815.26008725734
83.3975512,3892.11736568409
139.967434,6908.53764083847
228.518297,11367.2153278935
367.130131,15602.707545598
584.104195,20159.9168155328
923.741463,23783.018646867
1455.38783,27155.3800314312
2287.59292,36512.8562056767
3590.27332,50726.0023267358
5629.40557,52882.3443240405
8821.33225,63092.328974916
13817.7693,72841.6943887804
21638.8711,71209.3247672652
33881.5215,79079.096672741
53045.3803,86206.9493236616
83043.2543,65485.1911047831
130000,31652.2986544872
