generation,Ne
0,388.170101224768
9.42226309,561.216321015606
24.1712687,947.621696522844
47.258415,1640.72789078185
83.3975512,3704.06611039085
139.967434,5766.15072252009
228.518297,8106.16326702923
367.130131,10474.7499804629
584.104195,13460.9323994664
923.741463,13960.8965327901
1455.38783,22549.0838804309
2287.59292,33713.938650192
3590.27332,51777.2427983495
5629.40557,63277.9777222224
8821.33225,78608.0672051267
13817.7693,77971.6658490697
21638.8711,75739.6737151321
33881.5215,67505.2152321392
53045.3803,76905.3122282673
83043.2543,53856.7822513988
130000,30275.5781825957
