generations_ago,Ne
1,132
2,132
3,132
4,132
5,139
6,121
7,121
8,122
9,122
10,149
11,150
12,152
13,157
14,156
15,162
16,168
17,174
18,192
19,630
20,2170
21,3328
22,4356
23,4331
24,4935
25,4981
26,4948
27,4910
28,5414
29,5510
30,5666
31,5716
32,5727
33,5768
34,6100
35,6007
36,5982
37,5966
38,5916
39,5902
40,5906
41,5853
42,5776
43,5770
44,5757
45,5794
46,5847
47,5799
48,5724
49,5729
50,5665
51,5694
52,5754
53,5780
54,5743
55,5792
56,5753
57,5589
58,5586
59,5653
60,5570
61,5458
62,5558
63,5596
64,5670
65,5737
66,5777
67,5816
68,5850
69,5773
70,5782
71,5827
72,5719
73,5894
74,5927
75,5880
76,5859
77,5863
78,5742
79,5732
80,5690
81,5661
82,5661
83,5634
84,5648
85,5708
86,5745
87,5739
88,5782
89,5869
90,5966
91,5978
92,6046
93,6190
94,6370
95,6459
96,6543
97,6648
98,6675
99,6672
100,6713
101,6757
102,6765
103,6630
104,6430
105,6375
106,6280
107,6168
108,6155
109,6156
110,6123
111,6145
112,6016
113,5874
114,5881
115,5810
116,5751
117,5742
118,5731
119,5659
120,5623
121,5711
122,5845
123,5924
124,5945
125,5939
126,5953
127,5910
128,5882
129,5892
130,5848
131,5890
132,5942
133,6037
134,6156
135,6260
136,6355
137,6393
138,6468
139,6700
140,6690
141,6775
142,6885
143,6989
144,7054
145,7186
146,7245
147,7279
148,7347
149,7465
150,7535
151,7645
152,7717
153,7882
154,7962
155,8072
156,8137
157,8308
158,8455
159,8614
160,8691
161,8692
162,8798
163,8798
164,8839
165,8911
166,8940
167,8932
168,8995
169,9203
170,9379
171,9546
172,9596
173,9876
174,10048
175,10091
176,10233
177,10416
178,10453
179,10601
180,10759
181,10784
182,10759
183,10694
184,10810
185,10960
186,11094
187,11112
188,11093
189,11153
190,11138
191,11112
192,11139
193,11183
194,11204
195,11248
196,11284
197,11237
198,11278
199,11376
200,11499
