generations_ago,Ne
1,229
2,229
3,229
4,229
5,248
6,257
7,261
8,260
9,273
10,286
11,306
12,325
13,398
14,559
15,944
16,1111
17,1498
18,2013
19,2126
20,2142
21,2206
22,2304
23,2305
24,2299
25,2281
26,2266
27,2414
28,2474
29,2434
30,2356
31,2328
32,2336
33,2371
34,2432
35,2414
36,2431
37,2430
38,2412
39,2395
40,2369
41,2359
42,2398
43,2429
44,2432
45,2447
46,2473
47,2482
48,2458
49,2441
50,2465
51,2477
52,2505
53,2497
54,2441
55,2458
56,2469
57,2484
58,2468
59,2491
60,2498
61,2551
62,2573
63,2565
64,2601
65,2607
66,2574
67,2515
68,2498
69,2523
70,2529
71,2600
72,2628
73,2682
74,2704
75,2735
76,2768
77,2788
78,2810
79,2797
80,2744
81,2736
82,2736
83,2742
84,2703
85,2671
86,2664
87,2665
88,2669
89,2626
90,2617
91,2599
92,2607
93,2631
94,2622
95,2624
96,2646
97,2685
98,2677
99,2652
100,2592
101,2569
102,2560
103,2583
104,2588
105,2593
106,2564
107,2572
108,2571
109,2572
110,2588
111,2576
112,2541
113,2528
114,2510
115,2496
116,2542
117,2603
118,2640
119,2680
120,2686
121,2659
122,2669
123,2671
124,2651
125,2625
126,2554
127,2527
128,2499
129,2463
130,2467
131,2484
132,2525
133,2572
134,2587
135,2635
136,2668
137,2688
138,2721
139,2722
140,2741
141,2769
142,2809
143,2836
144,2856
145,2846
146,2846
147,2825
148,2823
149,2852
150,2865
151,2903
152,2906
153,2917
154,2923
155,2926
156,2917
157,2906
158,2937
159,2925
160,2927
161,2955
162,2990
163,2970
164,2974
165,2972
166,2983
167,3044
168,3089
169,3139
170,3185
171,3192
172,3148
173,3182
174,3227
175,3201
176,3211
177,3189
178,3218
179,3223
180,3171
181,3177
182,3214
183,3240
184,3263
185,3282
186,3365
187,3513
188,3589
189,3657
190,3725
191,3819
192,3822
193,3882
194,3936
195,3926
196,3967
197,4042
198,4130
199,4174
200,4216
