generations_ago,Ne
1,177
2,177
3,177
4,177
5,183
6,184
7,184
8,185
9,187
10,187
11,187
12,183
13,177
14,172
15,174
16,173
17,174
18,180
19,178
20,197
21,250
22,434
23,600
24,799
25,1649
26,1917
27,2052
28,3008
29,3315
30,3629
31,3639
32,3618
33,3643
34,3617
35,3616
36,3607
37,3592
38,3529
39,3444
40,3363
41,3302
42,3214
43,3233
44,3227
45,3208
46,3207
47,3192
48,3170
49,3295
50,3354
51,3380
52,3349
53,3352
54,3333
55,3301
56,3304
57,3257
58,3288
59,3287
60,3287
61,3283
62,3264
63,3210
64,3154
65,3131
66,3112
67,3106
68,3102
69,3110
70,3144
71,3198
72,3194
73,3164
74,3151
75,3160
76,3105
77,3123
78,3084
79,3151
80,3236
81,3298
82,3319
83,3340
84,3297
85,3221
86,3228
87,3237
88,3239
89,3223
90,3235
91,3337
92,3396
93,3412
94,3433
95,3438
96,3406
97,3464
98,3476
99,3468
100,3405
101,3408
102,3395
103,3370
104,3419
105,3502
106,3517
107,3503
108,3513
109,3538
110,3545
111,3617
112,3791
113,3875
114,3890
115,3979
116,3974
117,3978
118,4019
119,3996
120,3942
121,3942
122,3949
123,3934
124,4012
125,4061
126,4160
127,4278
128,4368
129,4405
130,4488
131,4515
132,4620
133,4620
134,4604
135,4557
136,4532
137,4538
138,4496
139,4472
140,4439
141,4393
142,4363
143,4360
144,4391
145,4411
146,4466
147,4531
148,4525
149,4566
150,4500
151,4509
152,4503
153,4570
154,4689
155,4747
156,4809
157,4849
158,4858
159,4900
160,4927
161,4898
162,4905
163,4897
164,4845
165,4856
166,4798
167,4765
168,4805
169,4855
170,4961
171,5014
172,5126
173,5151
174,5227
175,5246
176,5221
177,5176
178,5182
179,5227
180,5268
181,5331
182,5362
183,5379
184,5367
185,5352
186,5348
187,5366
188,5411
189,5399
190,5396
191,5445
192,5491
193,5526
194,5594
195,5584
196,5611
197,5577
198,5583
199,5649
200,5706
