generations_ago,Ne
1,117
2,117
3,117
4,117
5,128
6,126
7,125
8,124
9,128
10,136
11,144
12,153
13,165
14,172
15,187
16,188
17,192
18,198
19,206
20,205
21,211
22,214
23,218
24,217
25,220
26,245
27,281
28,304
29,329
30,348
31,374
32,409
33,407
34,437
35,485
36,490
37,506
38,506
39,515
40,566
41,635
42,734
43,756
44,897
45,1057
46,1212
47,1482
48,1651
49,1698
50,1765
51,1851
52,2029
53,2089
54,2185
55,2218
56,2253
57,2282
58,2262
59,2282
60,2281
61,2321
62,2350
63,2490
64,2574
65,2623
66,2643
67,2618
68,2641
69,2656
70,2633
71,2647
72,2641
73,2603
74,2609
75,2605
76,2609
77,2663
78,2693
79,2719
80,2783
81,2766
82,2749
83,2777
84,2831
85,2800
86,2768
87,2755
88,2722
89,2639
90,2591
91,2575
92,2611
93,2580
94,2570
95,2566
96,2535
97,2513
98,2507
99,2510
100,2513
101,2532
102,2543
103,2575
104,2587
105,2612
106,2627
107,2645
108,2667
109,2654
110,2632
111,2664
112,2662
113,2695
114,2638
115,2646
116,2684
117,2697
118,2757
119,2801
120,2812
121,2864
122,2907
123,2934
124,2992
125,3003
126,3044
127,3078
128,3075
129,3089
130,3096
131,3085
132,3051
133,3035
134,3015
135,3008
136,2991
137,2940
138,2963
139,3027
140,3045
141,3069
142,3099
143,3144
144,3213
145,3224
146,3241
147,3266
148,3238
149,3243
150,3233
151,3226
152,3228
153,3235
154,3204
155,3233
156,3232
157,3270
158,3303
159,3335
160,3355
161,3348
162,3362
163,3377
164,3390
165,3364
166,3340
167,3317
168,3317
169,3366
170,3418
171,3416
172,3421
173,3462
174,3474
175,3499
176,3474
177,3498
178,3524
179,3546
180,3510
181,3501
182,3518
183,3548
184,3554
185,3572
186,3624
187,3698
188,3698
189,3692
190,3738
191,3786
192,3767
193,3747
194,3760
195,3754
196,3753
197,3743
198,3763
199,3757
200,3746
