generations_ago,Ne
1,71
2,71
3,71
4,71
5,74
6,82
7,84
8,115
9,2138
10,7553
11,8035
12,7848
13,7694
14,7316
15,7323
16,7379
17,7279
18,7252
19,7236
20,7262
21,7290
22,7174
23,7030
24,7026
25,7041
26,7171
27,7245
28,7255
29,7129
30,7037
31,7010
32,7014
33,7142
34,7158
35,7187
36,7197
37,7133
38,7079
39,7111
40,7170
41,7202
42,7278
43,7402
44,7669
45,7790
46,7788
47,7940
48,7977
49,8043
50,7987
51,7948
52,7928
53,7878
54,7935
55,7961
56,7989
57,8025
58,8016
59,8026
60,8031
61,8189
62,8370
63,8415
64,8333
65,8102
66,8043
67,7989
68,7912
69,8146
70,8283
71,8616
72,8701
73,8836
74,8953
75,8952
76,8874
77,8856
78,8882
79,8897
80,8877
81,8835
82,8812
83,8735
84,8677
85,8800
86,8997
87,9223
88,9352
89,9408
90,9511
91,9496
92,9538
93,9729
94,9801
95,9864
96,9874
97,9807
98,9812
99,9767
100,9728
101,9872
102,10087
103,10238
104,10194
105,10074
106,9976
107,10064
108,10136
109,10199
110,10308
111,10277
112,10409
113,10452
114,10414
115,10362
116,10315
117,10512
118,10524
119,10522
120,10340
121,10354
122,10196
123,10269
124,10394
125,10599
126,10770
127,10912
128,11094
129,11295
130,11440
131,11430
132,11504
133,11502
134,11343
135,11428
136,11414
137,11322
138,11234
139,11237
140,11268
141,11263
142,11195
143,11246
144,11274
145,11293
146,11169
147,11177
148,11385
149,11445
150,11442
151,11570
152,11619
153,11569
154,11482
155,11467
156,11415
157,11407
158,11406
159,11312
160,11373
161,11342
162,11340
163,11224
164,11178
165,11065
166,10974
167,11030
168,11098
169,11186
170,11118
171,10985
172,10887
173,10863
174,10876
175,10943
176,11032
177,11074
178,11173
179,11105
180,11032
181,10719
182,10478
183,10424
184,10345
185,10208
186,10110
187,9979
188,9843
189,9739
190,9868
191,10050
192,10231
193,10335
194,10354
195,10274
196,10275
197,10285
198,10489
199,10602
200,10602
