generations_ago,Ne
1,189
2,189
3,189
4,189
5,202
6,206
7,209
8,172
9,180
10,184
11,184
12,218
13,217
14,216
15,214
16,213
17,214
18,213
19,215
20,216
21,214
22,214
23,205
24,204
25,202
26,276
27,623
28,1377
29,3478
30,8861
31,13490
32,14711
33,17013
34,16224
35,15708
36,15303
37,14664
38,14273
39,14157
40,14222
41,14402
42,14550
43,15343
44,15894
45,16167
46,16121
47,16126
48,15954
49,15934
50,16120
51,16317
52,16562
53,16539
54,16325
55,16188
56,15976
57,16184
58,16032
59,16149
60,16245
61,16330
62,16501
63,16615
64,16596
65,16719
66,16948
67,16930
68,17780
69,18492
70,18859
71,18951
72,19113
73,19716
74,19558
75,19361
76,19244
77,19236
78,19237
79,19281
80,20104
81,20275
82,20414
83,20706
84,20484
85,20553
86,19990
87,19839
88,19888
89,20090
90,20400
91,20111
92,20032
93,20111
94,20013
95,20015
96,19958
97,20013
98,20369
99,20076
100,20105
101,20314
102,20402
103,20801
104,20762
105,20622
106,20213
107,19912
108,19470
109,19232
110,19055
111,18912
112,19150
113,19406
114,19872
115,20138
116,20165
117,20485
118,20885
119,21308
120,21463
121,21442
122,21274
123,21051
124,20721
125,20409
126,20391
127,20249
128,20134
129,20078
130,20277
131,20360
132,20285
133,20015
134,19868
135,19799
136,20008
137,20222
138,20166
139,20200
140,20240
141,20244
142,19940
143,19788
144,19669
145,19791
146,19875
147,19888
148,19730
149,19716
150,19548
151,19588
152,19486
153,19447
154,19328
155,19254
156,19507
157,19512
158,19607
159,20002
160,20341
161,20583
162,20677
163,20834
164,21012
165,21032
166,21140
167,21135
168,21268
169,21128
170,21137
171,21308
172,21317
173,21297
174,21359
175,21510
176,21631
177,21827
178,22085
179,22111
180,22301
181,22169
182,21924
183,21852
184,21845
185,21972
186,21876
187,21816
188,22052
189,22323
190,22273
191,22404
192,22436
193,22602
194,22558
195,22594
196,22610
197,22413
198,22442
199,22305
200,22338
