Ne,generations_ago,model
62000,933154,MacLeod et al. 2013
17000,33154,MacLeod et al. 2013
10000,3354,MacLeod et al. 2013
7000,2354,MacLeod et al. 2013
3500,1754,MacLeod et al. 2013
2500,654,MacLeod et al. 2013
2000,454,MacLeod et al. 2013
1500,154,MacLeod et al. 2013
1000,24,MacLeod et al. 2013
350,18,MacLeod et al. 2013
250,12,MacLeod et al. 2013
120,6,MacLeod et al. 2013
90,3,MacLeod et al. 2013
100,0,ASR GENERIC
500,100,ASR GENERIC
1500,1000,ASR GENERIC
6000,10000,ASR GENERIC
12000,1e+05,ASR GENERIC
1e+05,1e+06,ASR GENERIC
